centX,centY,Sw_25,Sw_50,Sw_75,Sw_100,Sw_125,Sw_150,Sw_175,Sw_200,Sw_225,Sw_250,Sw_275,Sw_300,Sw_325,Sw_350,Sw_375,Sw_400,Sw_425,Sw_450,Sw_475,Sw_500,Sw_525,Sw_550,Sw_575,Sw_600,Sw_625,Sw_650,Sw_675,Sw_700,Sw_725,Sw_750,Sw_775,Sw_800,Sw_825,Sw_850,Sw_875,Sw_900,Sw_925,Sw_950,Sw_975,Sw_1000
58.51707775,526.6001016,0.22,0.220000001,0.220325111,0.229450167,0.249877866,0.269957663,0.287217529,0.301923925,0.314591249,0.325557919,0.335355983,0.344052789,0.351795333,0.359045261,0.365706702,0.371672346,0.377278133,0.382711685,0.387224881,0.39190747,0.396614034,0.401046208,0.405592376,0.409957204,0.413698729,0.417270074,0.420571535,0.423707625,0.426753444,0.42976168,0.432742043,0.435709406,0.43864979,0.441554405,0.444425709,0.447238716,0.449993917,0.452713851,0.455342957,0.457729421
58.3691103,554.2294618,0.22,0.22,0.220000172,0.220435492,0.227937068,0.24521756,0.26278585,0.278456598,0.292087209,0.304043244,0.314605487,0.32406315,0.332490163,0.340237028,0.347349713,0.353848689,0.359803733,0.36547787,0.370525826,0.375408262,0.379985884,0.385124647,0.389533502,0.392636853,0.396941174,0.400952807,0.40445338,0.407787088,0.411034709,0.414265434,0.417462457,0.420646988,0.423783961,0.426861867,0.429884388,0.432804075,0.435794108,0.438371257,0.441153209,0.444234936
59.74170687,582.1395415,0.22,0.22,0.22,0.220000398,0.220311858,0.225645737,0.239672911,0.255259564,0.269617385,0.282461798,0.293873702,0.304109953,0.313275677,0.32161877,0.32924875,0.336244402,0.342666535,0.348686422,0.354246205,0.359366899,0.364222251,0.368136584,0.372413715,0.377906785,0.380993065,0.385515778,0.3891574,0.392702565,0.396183699,0.399684854,0.403156765,0.406575147,0.409924203,0.413231995,0.416375752,0.41949829,0.422545041,0.425720478,0.42878656,0.431837519
62.63486747,610.3303407,0.22,0.22,0.22,0.22,0.220000206,0.220148684,0.223264861,0.233788782,0.247533541,0.26077734,0.272932338,0.283929341,0.293859489,0.30287249,0.311096512,0.318634024,0.325567476,0.332007479,0.337984505,0.343487551,0.34867734,0.353326623,0.357659537,0.361502571,0.367174921,0.370595934,0.374433186,0.37823306,0.382013921,0.385826319,0.389720575,0.393343463,0.396762734,0.400609226,0.40381918,0.407412705,0.410718858,0.414068215,0.417349436,0.420549705
67.04859209,638.8018594,0.22,0.22,0.22,0.22,0.22,0.22000004,0.220044421,0.221430734,0.228224661,0.239785592,0.251942881,0.263452241,0.27406316,0.283761777,0.292632636,0.300764775,0.308249478,0.315172713,0.321591986,0.327528816,0.333095098,0.338248675,0.342970286,0.34749932,0.352318377,0.355843751,0.360112721,0.364240501,0.368442251,0.372620286,0.377039603,0.380902455,0.385015767,0.388497386,0.392590678,0.396105549,0.399684443,0.403331747,0.406811646,0.410214023
72.98288074,667.5540977,0.22,0.22,0.22,0.22,0.22,0.22,0.220000001,0.220007232,0.220426391,0.223831479,0.232334713,0.24320153,0.253991756,0.264209513,0.273685562,0.282427121,0.290494007,0.297950968,0.304861524,0.311272048,0.317277393,0.322929446,0.328215948,0.333326575,0.33744121,0.343469016,0.348158164,0.352619984,0.357173952,0.361516383,0.365397256,0.37015169,0.374326449,0.378389392,0.38237274,0.385778328,0.389660479,0.393472952,0.397208837,0.400821082
80.43773341,696.5870554,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.220000516,0.220073366,0.221229267,0.226046928,0.234729457,0.244631203,0.25433385,0.263552146,0.272159632,0.280161012,0.287598311,0.294530856,0.301070657,0.307320173,0.313307996,0.31909781,0.324461976,0.329544701,0.334541205,0.339757945,0.345107482,0.350221347,0.354957155,0.358898008,0.363351793,0.367765371,0.372088716,0.376660576,0.38075729,0.38474401,0.388675872,0.392484043
89.41315011,725.9007327,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.220000006,0.220005741,0.220226188,0.222017965,0.227319334,0.235533053,0.24453018,0.253342161,0.261760567,0.26969608,0.277212398,0.284458827,0.29154034,0.298466746,0.305201156,0.311661977,0.317211724,0.323421357,0.32923448,0.3345711,0.339826111,0.344980605,0.350190651,0.354998501,0.359687266,0.364244294,0.368857058,0.373189294,0.377365086,0.38145321,0.385427277
99.90913083,755.4951294,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.220000136,0.220018296,0.220372661,0.222404725,0.227512196,0.235001846,0.24319233,0.25137961,0.259603422,0.267938173,0.276314051,0.284584107,0.292600051,0.300265387,0.307311849,0.313970357,0.320490743,0.326523938,0.332279321,0.33782419,0.343269693,0.348414347,0.353356152,0.35813039,0.362828448,0.367348666,0.371695146,0.375917017,0.380018404
111.9256756,785.3702457,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.220000433,0.220028212,0.220411652,0.222304492,0.226997597,0.234537702,0.243947413,0.254165325,0.264444968,0.274368073,0.283761089,0.292535915,0.30063483,0.307999567,0.315024312,0.321534485,0.327649521,0.333455567,0.339069929,0.344425655,0.349530015,0.354462537,0.359257762,0.363887784,0.368357759,0.37267031,0.376850025
118.314089,800.3779837,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.220000433,0.220028212,0.220411652,0.222304492,0.226997597,0.234537702,0.243947413,0.254165325,0.264444968,0.274368073,0.283761089,0.292535915,0.30063483,0.307999567,0.315024312,0.321534485,0.327649521,0.333455567,0.339069929,0.344425655,0.349530015,0.354462537,0.359257762,0.363887784,0.368357759,0.37267031,0.376850025
151.0019336,276.7796993,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
144.8522667,287.2368669,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
131.9670692,310.4752732,0.564507674,0.580477759,0.592950725,0.604919185,0.613438559,0.620365559,0.626287756,0.631438414,0.63605979,0.640216329,0.643979543,0.647414285,0.650570815,0.653500156,0.656220847,0.65876224,0.66115093,0.663251142,0.665374348,0.668028102,0.670092073,0.672336444,0.6741888,0.675661788,0.676641134,0.677136851,0.677519552,0.678469851,0.679825867,0.681746284,0.683273617,0.68474412,0.686153837,0.68753986,0.688903173,0.690267083,0.691612548,0.693026071,0.69440196,0.695774002
119.2532122,336.1685683,0.444926322,0.472054327,0.490747802,0.508912267,0.520415643,0.530234641,0.538519567,0.545695939,0.55212725,0.557935657,0.563184444,0.567923456,0.572299797,0.576361906,0.58012862,0.58363895,0.586937632,0.590072314,0.592931424,0.595705013,0.598441564,0.60116716,0.603554167,0.605852737,0.607823029,0.609270052,0.61044474,0.611758335,0.613255516,0.614962566,0.616791062,0.61863862,0.620481617,0.622320682,0.624150722,0.625973247,0.627798499,0.62962874,0.631460839,0.633289627
108.053763,362.1234989,0.316992646,0.387155783,0.421728511,0.442875416,0.457123252,0.469316138,0.479248696,0.487984497,0.495572976,0.502603856,0.50880559,0.514383125,0.519568338,0.524354699,0.528775272,0.532888604,0.536752656,0.540400317,0.543794863,0.547008168,0.550116484,0.553090887,0.555911354,0.558548679,0.560954195,0.562921552,0.564615599,0.566322626,0.568101349,0.569971503,0.571933187,0.573954415,0.575997577,0.578051838,0.580108197,0.582160178,0.584218213,0.586257931,0.588303046,0.590347147
98.36872171,388.340065,0.265031782,0.332085017,0.370392924,0.3884546,0.40733368,0.421570289,0.433027201,0.443439357,0.452033675,0.460245049,0.467172821,0.473517268,0.479398022,0.484760777,0.489688468,0.494276526,0.498593906,0.502640402,0.506437676,0.510015811,0.513433292,0.516687773,0.519781317,0.522688839,0.525385531,0.52769661,0.529744176,0.531763803,0.533800994,0.535877608,0.537999675,0.540161287,0.542347629,0.544548185,0.546753877,0.548957704,0.551164843,0.553349145,0.555532293,0.55771126
90.19808833,414.8182666,0.230136462,0.28562517,0.316917876,0.345932812,0.364405156,0.380368453,0.393711956,0.405229383,0.416129022,0.425082442,0.43264947,0.439885272,0.446461772,0.452332255,0.457719219,0.462746817,0.467500859,0.471907338,0.47604141,0.479952052,0.483665422,0.48718368,0.490514677,0.49366253,0.496600113,0.499176629,0.501499611,0.503776431,0.50604143,0.50831592,0.510604055,0.51290833,0.51522799,0.517557413,0.519889298,0.522218078,0.524544975,0.526847057,0.529141327,0.531424536
83.54186285,441.5581037,0.220276558,0.248403228,0.286333782,0.312501919,0.333748229,0.350220408,0.364544662,0.375989572,0.385038594,0.394128058,0.402446719,0.411019178,0.417971456,0.42429714,0.430166813,0.435703655,0.440873321,0.445616383,0.450067364,0.454337029,0.458330996,0.462103858,0.465670662,0.4690534,0.472211992,0.475017739,0.477584187,0.480090609,0.482562675,0.485022257,0.487474979,0.489927283,0.492384154,0.494843215,0.497298581,0.499746232,0.502183825,0.504593211,0.506987829,0.509361317
